Frequency [Hz]	Real_part [V/V]	Imag_part [V/V]
4.999999969612645145e+01	5.151838639447737789e-01	-2.714333833329716695e-05
7.098999996735244622e+02	5.139428508013095254e-01	-1.806527577076947146e-04
1.369799999650922473e+03	5.136794449526371764e-01	1.096072103614943033e-03
2.029699999628320484e+03	5.134657328545617627e-01	1.504029881923894417e-03
2.689599999605718494e+03	5.136495907004300365e-01	2.238570676998276939e-03
3.349499999583116733e+03	5.139767865016335868e-01	2.789182295561753750e-03
4.009399999560514516e+03	5.145018039089035433e-01	3.320702528595601347e-03
4.669299999537912299e+03	5.146904730328615285e-01	3.631119721774715443e-03
5.329199999515310992e+03	5.154311158558017025e-01	4.360408301580258675e-03
5.989099999492708776e+03	5.155495208852629574e-01	4.622265705582108766e-03
6.648999999470106559e+03	5.161318523594145002e-01	5.035389125066579846e-03
7.308899999447504342e+03	5.169076547669154698e-01	5.338342751759360752e-03
7.968799999424902126e+03	5.172679941161674178e-01	5.755689305875044508e-03
8.628699999402300818e+03	5.180793192405968028e-01	6.005533675774258132e-03
9.288599999379697692e+03	5.184455469527360361e-01	6.071994720994972755e-03
9.948499999357096385e+03	5.191483313694421620e-01	6.241230691648232999e-03
1.060839999933449508e+04	5.199005731036826505e-01	6.145525949553514583e-03
1.126829999931189195e+04	5.206171107818432509e-01	6.209180881909858417e-03
1.192819999928929064e+04	5.212633142818565712e-01	6.240861237107815478e-03
1.258809999926668934e+04	5.218651865243086885e-01	6.132401649065135837e-03
1.324799999924408621e+04	5.224644595777407918e-01	6.166419761353293151e-03
1.390789999922148490e+04	5.230712568280254660e-01	5.923672495753376337e-03
1.456779999919888360e+04	5.234395785382276456e-01	5.723722722948478524e-03
1.522769999917628047e+04	5.243411159553754697e-01	5.459156967250940531e-03
1.588759999915367916e+04	5.247015713201016451e-01	5.383474530571652657e-03
1.654749999913107604e+04	5.253527742424651814e-01	5.044457423898568611e-03
1.720739999910847473e+04	5.257342472854142912e-01	4.759885442785723175e-03
1.786729999908587342e+04	5.264326755217859644e-01	4.276074039199989109e-03
1.852719999906327212e+04	5.267330295461245537e-01	4.138705569341866522e-03
1.918709999904066717e+04	5.275301575943595056e-01	3.761999313433381058e-03
1.984699999901806586e+04	5.280137151843684595e-01	3.442653146098201191e-03
2.050689999899546456e+04	5.284330111828958731e-01	3.070589221950117444e-03
2.116679999897286325e+04	5.289820856986818809e-01	2.733303354253065979e-03
2.182669999895026194e+04	5.289732066625647544e-01	2.622790527274248412e-03
2.248659999892766064e+04	5.298180217599264274e-01	1.810279156872038938e-03
2.314649999890505569e+04	5.298619484888594799e-01	1.677186650379002171e-03
2.380639999888245438e+04	5.303464205781351914e-01	1.198663348488185993e-03
2.446629999885985308e+04	5.308023640459692549e-01	7.470784167294086632e-04
2.512619999883725177e+04	5.311751354448782658e-01	2.337337295986011729e-04
2.578609999881465046e+04	5.315492058004324116e-01	-7.829594133191986462e-05
2.644599999879204552e+04	5.318085409879814707e-01	-9.184512894692953549e-05
2.710589999876944421e+04	5.320519442552414935e-01	-6.159293429716015088e-04
2.776579999874684290e+04	5.325981048293656483e-01	-1.634938394100773776e-03
2.842569999872424160e+04	5.330711235968550454e-01	-1.651167114863557944e-03
2.908559999870164029e+04	5.333245186694628437e-01	-2.223815173347934611e-03
2.974549999867903534e+04	5.336122879998042023e-01	-2.704311833182592405e-03
3.040539999865643404e+04	5.340837408783233320e-01	-2.887283523486052286e-03
3.106529999863383273e+04	5.343668463139141789e-01	-3.473811182124454233e-03
3.172519999861123142e+04	5.348832321451093552e-01	-3.787175768717166140e-03
3.238509999858863011e+04	5.350516158082011531e-01	-4.580554218367860822e-03
3.304499999856602517e+04	5.354601810813737206e-01	-4.798255946316987847e-03
3.370489999854342750e+04	5.362292661996909127e-01	-5.151907639704605101e-03
3.436479999852082256e+04	5.359778281922520371e-01	-5.819932931082333512e-03
3.502469999849821761e+04	5.367722209026737357e-01	-6.599377020709534802e-03
