Frequency [Hz]	Real_part [V/V]	Imag_part [V/V]
    289.999999999679e+003    453.891564615817e-003   -166.076646449436e-003
    385.419999999304e+003    432.206243535886e-003   -213.365416777738e-003
    480.839999998928e+003    405.836886916494e-003   -260.459114398969e-003
    576.259999998552e+003    373.958298637851e-003   -304.724859628476e-003
    671.679999998176e+003    337.211134784052e-003   -345.138288326203e-003
    767.099999997800e+003    296.065414422244e-003   -381.222251829602e-003
    862.519999997424e+003    251.070663960302e-003   -412.371892581934e-003
    957.939999997048e+003    202.807678196121e-003   -438.282085714935e-003
    1.05335999999667e+006    151.966691381702e-003   -458.561676850755e-003
    1.14877999999630e+006    99.0915616320790e-003   -472.980542130371e-003
    1.24419999999592e+006    44.9218787159776e-003   -481.340830347951e-003
    1.33961999999554e+006   -9.88518290340510e-003   -483.474658385585e-003
    1.43503999999517e+006   -64.6028147082056e-003   -479.395925762655e-003
    1.53045999999479e+006   -118.500175947549e-003   -469.207764646524e-003
    1.62587999999442e+006   -170.932404414128e-003   -452.909421914149e-003
    1.72129999999404e+006   -221.195611001048e-003   -430.817774471414e-003
    1.81671999999367e+006   -268.630912750108e-003   -403.145500973146e-003
    1.91213999999329e+006   -312.724422575037e-003   -370.322223471470e-003
    2.00755999999291e+006   -352.767660774211e-003   -332.730670648656e-003
    2.10297999999254e+006   -388.386795812172e-003   -290.717047786252e-003
    2.19839999999216e+006   -419.000675626511e-003   -245.017227372299e-003
    2.29381999999179e+006   -444.262731040830e-003   -196.105464422195e-003
    2.38923999999141e+006   -463.907500136476e-003   -144.611049992203e-003
    2.48465999999103e+006   -477.568805222877e-003   -91.2027797113911e-003
    2.58007999999066e+006   -485.063740383625e-003   -36.5089596582594e-003
    2.67549999999028e+006   -486.369622565456e-003    18.6271307610150e-003
    2.77091999998991e+006   -481.385942855300e-003    73.7067024327227e-003
    2.86633999998953e+006   -470.258186957807e-003    127.794637088247e-003
    2.96175999998916e+006   -453.072992897272e-003    180.366986985845e-003
    3.05717999998878e+006   -430.029368018223e-003    230.639836119551e-003
    3.15259999998840e+006   -401.412270209981e-003    278.025419469832e-003
    3.24801999998803e+006   -367.560267679985e-003    321.973468451845e-003
    3.34343999998765e+006   -329.003403556902e-003    361.788500477675e-003
    3.43885999998728e+006   -286.136858252954e-003    396.988966381554e-003
    3.53427999998690e+006   -239.530866866222e-003    427.190732725796e-003
    3.62969999998652e+006   -189.774105687511e-003    451.935253920527e-003
    3.72511999998615e+006   -137.378876200096e-003    470.945255108163e-003
    3.82053999998577e+006   -83.2321538035443e-003    483.884525358772e-003
    3.91595999998540e+006   -27.8831789124236e-003    490.632049116620e-003
    4.01137999998502e+006    27.9141047979823e-003    491.060899338710e-003
    4.10679999998465e+006    83.3648875190449e-003    485.190945049705e-003
    4.20221999998427e+006    137.982182135361e-003    473.072114308683e-003
    4.29763999998389e+006    190.878720721916e-003    454.808786217800e-003
    4.39305999998352e+006    241.458320531536e-003    430.652039721074e-003
    4.48847999998314e+006    289.046119959228e-003    400.935157756151e-003
    4.58389999998277e+006    332.973828085574e-003    365.980628177441e-003
    4.67931999998239e+006    372.666466980870e-003    326.192066268235e-003
    4.77473999998201e+006    407.653265470512e-003    282.197308373703e-003
    4.87015999998164e+006    437.483617220051e-003    234.438761509292e-003
    4.96557999998126e+006    461.792502999486e-003    183.508237095660e-003
    5.06099999998089e+006    480.157418088118e-003    130.047767262784e-003
    5.15641999998051e+006    492.393523644490e-003    74.8405403445888e-003
    5.25183999998013e+006    498.294098949980e-003    18.5129851051310e-003
    5.34725999997976e+006    497.799690615568e-003   -38.1787446961528e-003
    5.44267999997938e+006    490.868520518091e-003   -94.4714858055444e-003
