Frequency [Hz]	Real_part [Hz/V]	Imag_part [Hz/V]
9.999999999621422830e+03	2.658478124211853370e+07	-8.772156274825022556e+05
1.349374999994878890e+05	2.513740830703222752e+07	-1.200390842030931264e+07
2.598749999993543606e+05	1.667062029096004739e+07	-2.380111810379688814e+07
3.848124999992208323e+05	3.380527784974101000e+06	-2.857518760334675387e+07
5.097499999990873039e+05	-1.010000973921972699e+07	-2.658090437134636566e+07
6.346874999989537755e+05	-2.089555805408531800e+07	-1.873042939581701532e+07
7.596249999988202471e+05	-2.675234981352533773e+07	-7.022946351178417914e+06
8.845624999986867188e+05	-2.660161698816150799e+07	5.832069158514617011e+06
1.009499999998553190e+06	-2.071002247654788941e+07	1.696342318691672757e+07
1.134437499998419778e+06	-1.062276024757531658e+07	2.403438552228215709e+07
1.259374999998286134e+06	1.325466607106269337e+06	2.571437371698490903e+07
1.384312499998152722e+06	1.245019590873471275e+07	2.191336350411332771e+07
1.509249999998019077e+06	2.047961099423630908e+07	1.374847835699738190e+07
1.634187499997885665e+06	2.390566599482917413e+07	3.119374563994804397e+06
1.759124999997752020e+06	2.227811253849999979e+07	-7.653332567415326834e+06
1.884062499997618608e+06	1.623893618302433752e+07	-1.633629353101913258e+07
2.008999999997484963e+06	7.237900097762913443e+06	-2.132546591767852381e+07
2.133937499997351319e+06	-2.794136435959334020e+06	-2.181466898313231021e+07
2.258874999997218139e+06	-1.177209250497373939e+07	-1.798831091630740464e+07
2.383812499997084495e+06	-1.802771863790612295e+07	-1.073938255033092201e+07
2.508749999996950850e+06	-2.043653795617064461e+07	-1.816852916421959177e+06
2.633687499996817205e+06	-1.876628171357592940e+07	7.107578831624277867e+06
2.758624999996684026e+06	-1.358448767857654765e+07	1.419320205730065890e+07
2.883562499996550381e+06	-5.959309197448978201e+06	1.825957388108685613e+07
3.008499999996416736e+06	2.422112985185103957e+06	1.872735342539113760e+07
3.133437499996283092e+06	1.002851596305933595e+07	1.555194810841643997e+07
3.258374999996149912e+06	1.543764939190159738e+07	9.516846789118219167e+06
3.383312499996016268e+06	1.767816866322540864e+07	1.945970548570954008e+06
3.508249999995882623e+06	1.650293089078960940e+07	-5.681723252507569268e+06
3.633187499995748978e+06	1.231888507869802415e+07	-1.199335211468939297e+07
3.758124999995615799e+06	5.944535836398755200e+06	-1.584931730722356960e+07
3.883062499995482154e+06	-1.347044754437829601e+06	-1.659939095447730646e+07
4.007999999995348509e+06	-8.155426226315252483e+06	-1.427310837078444287e+07
4.132937499995214865e+06	-1.327132467334766127e+07	-9.330533052481619641e+06
4.257874999995081685e+06	-1.575554430453874916e+07	-2.750539121145728510e+06
4.382812499994948506e+06	-1.523994055170284957e+07	4.121158265956570860e+06
4.507749999994814396e+06	-1.192227221878979355e+07	1.007368583422059193e+07
4.632687499994681217e+06	-6.482412796975464560e+06	1.403275080631512403e+07
4.757624999994547106e+06	4.468858627192268614e+04	1.531756349026231095e+07
4.882562499994413927e+06	6.453723549941241741e+06	1.376090638342740387e+07
5.007499999994280748e+06	1.158375088472880051e+07	9.661178609153887257e+06
5.132437499994146638e+06	1.455520390800888464e+07	3.863500710837966762e+06
5.257374999994013458e+06	1.478515980508036911e+07	-2.637789081923450809e+06
5.382312499993880279e+06	1.224116757742366567e+07	-8.617649597737528384e+06
5.507249999993746169e+06	7.397976236794307828e+06	-1.292115473209242336e+07
5.632187499993612990e+06	1.272844886953689856e+06	-1.489924609841509908e+07
5.757124999993478879e+06	-5.209041256028125063e+06	-1.401077118102554232e+07
5.882062499993345700e+06	-1.069331611614164710e+07	-1.050284648270773888e+07
6.006999999993212521e+06	-1.417396305636485852e+07	-5.004045307249957696e+06
6.131937499993078411e+06	-1.508693778090559691e+07	1.518416672564632725e+06
6.256874999992945231e+06	-1.309503639223784953e+07	7.868550071870584972e+06
6.381812499992812052e+06	-8.517887356808265671e+06	1.279934573277715966e+07
6.506749999992677942e+06	-2.242520266444379464e+06	1.534765854143291898e+07
6.631687499992544763e+06	4.631678696402903646e+06	1.500229781623807736e+07
6.756624999992410652e+06	1.082909140092200972e+07	1.170845211560722068e+07
6.881562499992277473e+06	1.507268832953818887e+07	5.948421258295741864e+06
7.006499999992144294e+06	1.641503979127529822e+07	-1.184533015724290395e+06
7.131437499992010184e+06	1.453830548549863324e+07	-8.433226637819699943e+06
7.256374999991877005e+06	9.539660759161649272e+06	-1.427393447040236369e+07
7.381312499991743825e+06	2.271316384472957812e+06	-1.741260812767510116e+07
7.506249999991609715e+06	-5.850690758580193855e+06	-1.699663288388725743e+07
7.631187499991476536e+06	-1.317202390969578549e+07	-1.286217258086361177e+07
