Frequency [Hz]	Real_part [V/V]	Imag_part [V/V]
9.999999999621422830e+03	9.397541387037061655e-01	-1.333768746383762714e-02
2.243749999930599733e+04	9.354566017832472991e-01	-7.333900134656171814e-04
3.487499999899057730e+04	9.424477556401877898e-01	-1.726838840784764018e-02
4.731249999867514998e+04	9.413130727220546667e-01	-2.267416135994733753e-02
5.974999999835972267e+04	9.394528135132569346e-01	-2.907612645855056979e-02
7.218749999804429535e+04	9.409193893931404595e-01	-3.625170780565658418e-02
8.462499999772888259e+04	9.399146539870779637e-01	-4.428101392691543431e-02
9.706249999741345528e+04	9.418164563865303318e-01	-4.823254962252630090e-02
1.094999999970980280e+05	9.381228611127316874e-01	-5.479900244199350373e-02
1.219374999967826006e+05	9.387386397304472441e-01	-6.408043815335151550e-02
1.343749999964671733e+05	9.392383839745630514e-01	-6.975525962104787980e-02
1.468124999961517460e+05	9.378664179367545151e-01	-7.574287330620982361e-02
1.592499999958363478e+05	9.373319453287722869e-01	-8.275749287949082933e-02
1.716874999955209205e+05	9.340904389293510635e-01	-9.037744613881193434e-02
1.841249999952054932e+05	9.353754891329620902e-01	-9.528729043547193300e-02
1.965624999948900659e+05	9.381624478242879261e-01	-1.038636019360779927e-01
2.089999999945746385e+05	9.379491177241863209e-01	-1.191609935299866169e-01
2.214374999942592112e+05	9.124285943958135858e-01	-1.283802501782497218e-01
2.338749999939437839e+05	9.038820336286456092e-01	-1.083762035790934719e-01
2.463124999936283566e+05	9.162322553057618002e-01	-1.030183539097990486e-01
2.587499999933129293e+05	9.266680948961089070e-01	-1.118457151666058663e-01
2.711874999929975020e+05	9.298009762802027511e-01	-1.209958162537907306e-01
2.836249999926820747e+05	9.306355075627401607e-01	-1.302969335715623289e-01
2.960624999923666473e+05	9.306712331682266415e-01	-1.374649057329656865e-01
3.084999999920512200e+05	9.296154980002363510e-01	-1.455577360037868806e-01
3.209374999917357927e+05	9.298589838830328969e-01	-1.523851302364762350e-01
3.333749999914204236e+05	9.294255464240405162e-01	-1.595285128746649905e-01
3.458124999911049963e+05	9.292201658965228983e-01	-1.661164889590248939e-01
3.582499999907895690e+05	9.275148443510833340e-01	-1.728833850963201468e-01
3.706874999904741417e+05	9.261858326006735531e-01	-1.798967074747129802e-01
3.831249999901587144e+05	9.250940953557419411e-01	-1.858716387473083320e-01
3.955624999898432870e+05	9.243960754127572566e-01	-1.928505814778319338e-01
4.079999999895278597e+05	9.239853739877236238e-01	-1.991400007460210619e-01
4.204374999892124324e+05	9.223558947590861923e-01	-2.056689984316353303e-01
4.328749999888970051e+05	9.204346591241122644e-01	-2.119055977119577161e-01
4.453124999885815778e+05	9.198014589448100242e-01	-2.181300492033683980e-01
4.577499999882661505e+05	9.178078336918120694e-01	-2.248731761217145353e-01
4.701874999879507232e+05	9.159574677442500201e-01	-2.316802187930403767e-01
4.826249999876352958e+05	9.131571161865900121e-01	-2.369918413352340436e-01
4.950624999873198685e+05	9.125358558318208413e-01	-2.436710789428221113e-01
5.074999999870044412e+05	9.112545641497968862e-01	-2.509394185204887329e-01
5.199374999866890139e+05	9.100765837558996152e-01	-2.568518021852807531e-01
5.323749999863735866e+05	9.085957237710979850e-01	-2.638237622784884162e-01
5.448124999860582175e+05	9.070563813462938496e-01	-2.688604153368959193e-01
5.572499999857427320e+05	9.050975063250253916e-01	-2.749479268168793511e-01
5.696874999854273628e+05	9.026286413978453771e-01	-2.810871120077095831e-01
5.821249999851118773e+05	9.004787071803774801e-01	-2.874146094115646588e-01
5.945624999847965082e+05	8.985817743520199130e-01	-2.926507292287169881e-01
6.069999999844810227e+05	8.967299888357042059e-01	-2.994425980457658953e-01
6.194374999841656536e+05	8.948537739360401533e-01	-3.050726358444299513e-01
6.318749999838501681e+05	8.929399701592173333e-01	-3.112335755992187147e-01
6.443124999835347990e+05	8.901361303053517693e-01	-3.164365658247010327e-01
6.567499999832193134e+05	8.882356395797890158e-01	-3.222891888462826593e-01
6.691874999829039443e+05	8.863349973223150213e-01	-3.282405256157432394e-01
6.816249999825885752e+05	8.845643645312727399e-01	-3.345185215989567862e-01
6.940624999822730897e+05	8.829540912985245349e-01	-3.412098129825443804e-01
7.064999999819577206e+05	8.811481088068134904e-01	-3.475168057726368831e-01
7.189374999816422351e+05	8.792372219119582999e-01	-3.527646147580408842e-01
7.313749999813268660e+05	8.771172214433142766e-01	-3.587197159069143160e-01
7.438124999810113804e+05	8.740878150470428043e-01	-3.649184589014011215e-01
7.562499999806960113e+05	8.703336553374086959e-01	-3.702860319555593693e-01
7.686874999803805258e+05	8.679432058634822811e-01	-3.758671751793676297e-01
7.811249999800651567e+05	8.664321480740041492e-01	-3.814094808850334584e-01
7.935624999797496712e+05	8.644463581442263234e-01	-3.884079966356290825e-01
8.059999999794343021e+05	8.612399507026275991e-01	-3.932530688696707633e-01
8.184374999791188166e+05	8.591653784816783990e-01	-3.995936826920230556e-01
8.308749999788034474e+05	8.562360048628151477e-01	-4.056347186976471120e-01
8.433124999784879619e+05	8.543501487235580782e-01	-4.112256276450202974e-01
8.557499999781725928e+05	8.509616428810580224e-01	-4.171263427305181293e-01
8.681874999778571073e+05	8.483499437711179425e-01	-4.230569789642395495e-01
8.806249999775417382e+05	8.456059542980260968e-01	-4.281156392420221724e-01
8.930624999772262527e+05	8.433318968070077082e-01	-4.346950376366653934e-01
9.054999999769108836e+05	8.399008552607732936e-01	-4.396874325026573493e-01
9.179374999765955145e+05	8.370359290164154364e-01	-4.463901972266580143e-01
9.303749999762800289e+05	8.342761245784325874e-01	-4.515254413720842241e-01
9.428124999759646598e+05	8.301424910736991958e-01	-4.562587905346632278e-01
9.552499999756491743e+05	8.268529084509138594e-01	-4.614331838204229208e-01
9.676874999753338052e+05	8.240567560845901696e-01	-4.672018067163891120e-01
9.801249999750183197e+05	8.210066319599049756e-01	-4.730040829195624186e-01
9.925624999747029506e+05	8.187635647532749417e-01	-4.783980223334974302e-01
1.004999999974387465e+06	8.158525334412867203e-01	-4.843244101457035988e-01
1.017437499974072096e+06	8.123799792390833385e-01	-4.903657490087121595e-01
1.029874999973756610e+06	8.088667259103325957e-01	-4.954186202932578942e-01
1.042312499973441241e+06	8.050839311847837187e-01	-5.002232163220569072e-01
1.054749999973125756e+06	8.020452065041574485e-01	-5.049723040112431560e-01
1.067187499972810270e+06	7.982163878806300961e-01	-5.103768434039039903e-01
1.079624999972495018e+06	7.953247566545533775e-01	-5.160657859496826649e-01
1.092062499972179532e+06	7.922239993215178799e-01	-5.221413137239848679e-01
1.104499999971864047e+06	7.885784286499434304e-01	-5.274678685883841256e-01
1.116937499971548561e+06	7.850991244265208557e-01	-5.325767206460101377e-01
1.129374999971233308e+06	7.816307732374733197e-01	-5.374265062104774948e-01
1.141812499970917823e+06	7.780488281270007134e-01	-5.424613126220422243e-01
1.154249999970602337e+06	7.742043292434889201e-01	-5.484557672287523333e-01
1.166687499970287085e+06	7.710076446252849269e-01	-5.535879102511018779e-01
1.179124999969971599e+06	7.669429779616038223e-01	-5.594860692273979641e-01
1.191562499969656114e+06	7.636993127077013055e-01	-5.646047256243190704e-01
1.203999999969340628e+06	7.603810590781631129e-01	-5.703677537852923640e-01
1.216437499969025375e+06	7.562264807281874335e-01	-5.746401963677099101e-01
