Frequency [Hz]	Real_part [V/V]	Imag_part [V/V]
9.999999999621422830e+03	9.588960431691613273e-01	6.104709928100914527e-03
3.974374999993201927e+05	8.023784522466582692e-01	-6.484576495586503730e-01
7.848749999990189681e+05	2.282650196214310312e-01	-1.011199361503761551e+00
1.172312499998717802e+06	-4.496658125924304361e-01	-9.369782722243241713e-01
1.559749999998416519e+06	-9.386510397551228735e-01	-4.575813600798568359e-01
1.947187499998115469e+06	-1.028007922947048236e+00	2.233834065756382936e-01
2.334624999997814186e+06	-6.724714315683288923e-01	8.167017760765811207e-01
2.722062499997512903e+06	-2.033729487504322767e-02	1.066012848271312707e+00
3.109499999997211620e+06	6.505823164928781210e-01	8.573739155257406042e-01
3.496937499996910337e+06	1.054787908614055247e+00	2.718565731068151026e-01
3.884374999996609520e+06	1.005669812394480278e+00	-4.446108804165492812e-01
4.271812499996308237e+06	5.185661321179397820e-01	-9.867999003493675980e-01
4.659249999996006489e+06	-2.082509415133070307e-01	-1.111821718795948932e+00
5.046687499995705672e+06	-8.659260662227580285e-01	-7.540721601632910387e-01
5.434124999995404854e+06	-1.168219995583586357e+00	-5.691169467662263864e-02
5.821562499995103106e+06	-9.667440416798258607e-01	6.931682602328115284e-01
6.208999999994802289e+06	-3.344625473161239593e-01	1.168427920899058448e+00
6.596437499994500540e+06	4.734511034019741604e-01	1.147677740354469123e+00
6.983874999994199723e+06	1.110544286913877743e+00	6.206623420683269332e-01
7.371312499993897974e+06	1.289082423761578999e+00	-2.098589358505087432e-01
7.758749999993597157e+06	9.049934449586007901e-01	-9.926047468121933504e-01
8.146187499993296340e+06	9.387478654544427481e-02	-1.381730476584851264e+00
8.533624999992994592e+06	-8.123204909141815699e-01	-1.178404236547223372e+00
8.921062499992692843e+06	-1.417077965351547064e+00	-4.320891296036939444e-01
9.308499999992392957e+06	-1.429426065103871268e+00	5.663383463760607306e-01
9.695937499992091209e+06	-7.963294098784108321e-01	1.388739795176812564e+00
1.008337499999178946e+07	2.540080759051783765e-01	1.650613978117593916e+00
1.047081249999148957e+07	1.289160061496179788e+00	1.185352953816553923e+00
1.085824999999118783e+07	1.832443793511400187e+00	1.255871998377708909e-01
1.124568749999088608e+07	1.590055596150096839e+00	-1.106262987829940592e+00
1.163312499999058433e+07	5.796394040214269960e-01	-1.969548635995155506e+00
1.202056249999028444e+07	-8.376978697520373052e-01	-2.019305250166969934e+00
1.240799999998998269e+07	-2.057105263231811421e+00	-1.114567000520332529e+00
1.279543749998968095e+07	-2.478877363960954039e+00	4.672045002588776641e-01
1.318287499998938106e+07	-1.757932068393021074e+00	2.093550294111687027e+00
1.357031249998907931e+07	-2.836593647558302220e-02	2.989558739842109958e+00
1.395774999998877756e+07	2.089097200669300936e+00	2.558668019407558614e+00
1.434518749998847581e+07	3.623002730027219620e+00	6.801281334057959205e-01
1.473262499998817593e+07	3.612970897499010903e+00	-2.088609579596163446e+00
1.512006249998787418e+07	1.527593937154033243e+00	-4.550440710661907140e+00
1.550749999998757243e+07	-2.299291532327123466e+00	-5.154702821420834802e+00
1.589493749998727255e+07	-6.335521253152494481e+00	-2.495221588882241992e+00
1.628237499998697080e+07	-7.550564850012930762e+00	3.698016795613285890e+00
1.666981249998666905e+07	-1.998298434831012660e+00	1.024169228063975545e+01
1.705724999998636916e+07	9.179303916801032415e+00	8.037654336804388677e+00
1.744468749998606741e+07	1.122889040768404101e+01	-4.555526572852728329e+00
1.783212499998576567e+07	1.586315347659057240e+00	-1.019614568228862161e+01
1.821956249998546392e+07	-5.735570467347258727e+00	-6.020035804714559013e+00
1.860699999998516217e+07	-6.727887899524740867e+00	1.321279226086227443e-01
1.899443749998486042e+07	-3.888925435954006637e+00	3.971993521792343440e+00
1.938187499998456240e+07	-1.444074847321564770e-01	4.707597154050952248e+00
1.976931249998426065e+07	2.602689739875366559e+00	3.133413157332637589e+00
2.015674999998395890e+07	3.532468992344770076e+00	5.947071593744598372e-01
2.054418749998365715e+07	2.746999017921376129e+00	-1.627369733667541896e+00
2.093162499998335540e+07	9.613561467527741433e-01	-2.709805468207932222e+00
2.131906249998305365e+07	-8.945052482780641023e-01	-2.458166860475125670e+00
2.170649999998275191e+07	-2.065168194868822304e+00	-1.222633443424070654e+00
2.209393749998245388e+07	-2.192705478668843799e+00	3.302667459459752708e-01
2.248137499998215213e+07	-1.388558531148149200e+00	1.525473895114113354e+00
2.286881249998185039e+07	-1.120342003738863806e-01	1.926571389978104287e+00
2.325624999998154864e+07	1.056206627889602290e+00	1.474806474259254374e+00
2.364368749998124689e+07	1.649304617126316597e+00	4.579626561157666420e-01
2.403112499998094514e+07	1.490680889343548587e+00	-6.424818384052553011e-01
2.441856249998064339e+07	7.227968154366387621e-01	-1.364681634833632362e+00
2.480599999998034537e+07	-2.778050514744665467e-01	-1.446312065532818769e+00
2.519343749998004362e+07	-1.072751004946624009e+00	-9.137380971460641321e-01
2.558087499997974187e+07	-1.351368440920934333e+00	-4.104897238203158993e-02
2.596831249997944012e+07	-1.039744865557226561e+00	7.827640227505141546e-01
2.635574999997913837e+07	-3.112910326821923812e-01	1.214758874932686750e+00
2.674318749997883663e+07	4.987444529255568026e-01	1.105525693835156309e+00
2.713062499997853488e+07	1.047444394818554780e+00	5.357326611531069149e-01
2.751806249997823685e+07	1.119539873866310264e+00	-2.302811526189778302e-01
2.790549999997793511e+07	7.122501676662179593e-01	-8.566846547370909892e-01
2.829293749997763336e+07	2.073940636101074750e-02	-1.085204361752928781e+00
2.868037499997733161e+07	-6.473142546789500962e-01	-8.410546449099292055e-01
2.906781249997702986e+07	-1.010142236380680902e+00	-2.476377439359652710e-01
2.945524999997672811e+07	-9.259903793020239915e-01	4.304570411015538056e-01
2.984268749997642636e+07	-4.455685060308213763e-01	8.993463962802117351e-01
3.023012499997612834e+07	2.107977692411628079e-01	9.664123239331580129e-01
3.061756249997582659e+07	7.580740886157990577e-01	6.136498030769507173e-01
3.100499999997552484e+07	9.630166657757496251e-01	4.744351187379597032e-03
3.139243749997522309e+07	7.459818575677482633e-01	-5.928272626539077272e-01
3.177987499997492135e+07	2.099007233843306341e-01	-9.206742352734862411e-01
3.216731249997461960e+07	-4.102637165511192063e-01	-8.432135234446247463e-01
3.255474999997431785e+07	-8.430002543941188531e-01	-3.977387911566867551e-01
3.294218749997401983e+07	-9.038944811829888737e-01	2.164162745472852645e-01
3.332962499997371808e+07	-5.668471985874585783e-01	7.318936057795140115e-01
3.371706249997341633e+07	1.832996137837702641e-02	9.255191593683141926e-01
3.410449999997311831e+07	5.956364681172556796e-01	7.107521251775272830e-01
3.449193749997281283e+07	9.113236159400226466e-01	1.787289999634608384e-01
3.487937499997251481e+07	8.242201834592702836e-01	-4.349451386279185039e-01
3.526681249997220933e+07	3.700765000254018222e-01	-8.604444711990373307e-01
3.565424999997191131e+07	-2.550631165499864239e-01	-9.094906856006651497e-01
3.604168749997160584e+07	-7.771206462148542160e-01	-5.518996957271451453e-01
3.642912499997130781e+07	-9.624732468939871666e-01	6.174691022435579296e-02
3.681656249997100979e+07	-7.167507303768226867e-01	6.630813425139454598e-01
3.720399999997070432e+07	-1.404293761897633386e-01	9.826716047126486941e-01
3.759143749997040629e+07	5.215944722747728468e-01	8.642122992421018557e-01
3.797887499997010082e+07	9.699437276035346445e-01	3.461785189989826650e-01
3.836631249996980280e+07	9.906400170252502857e-01	-3.532034683349610238e-01
3.875374999996949732e+07	5.550122477654311215e-01	-9.242162133152113102e-01
3.914118749996919930e+07	-1.629816606701429416e-01	-1.094522021148800484e+00
3.952862499996890128e+07	-8.479063991430471070e-01	-7.624098430599226539e-01
3.991606249996859580e+07	-1.177166145079046933e+00	-4.855982201230886475e-02
4.030349999996829778e+07	-9.690217547534385467e-01	7.401003998100323944e-01
4.069093749996799231e+07	-2.821065771778452080e-01	1.237695879217386663e+00
4.107837499996769428e+07	6.049945204507555241e-01	1.177819765578578037e+00
4.146581249996738881e+07	1.281009711885857216e+00	5.348024186487663201e-01
4.185324999996709079e+07	1.391350872047693921e+00	-4.437480262579338031e-01
4.224068749996679276e+07	8.121522231517377399e-01	-1.312754198135668293e+00
4.262812499996648729e+07	-2.594951166358095973e-01	-1.618914872040546404e+00
4.301556249996618927e+07	-1.345906533097410485e+00	-1.119788945428412674e+00
4.340299999996588379e+07	-1.875931282685683765e+00	5.943451491982730539e-02
4.379043749996558577e+07	-1.459477985806018729e+00	1.403401843225767109e+00
4.417787499996528029e+07	-1.357443351150430244e-01	2.192829489719974490e+00
4.456531249996498227e+07	1.535921291383133935e+00	1.841513248597669072e+00
4.495274999996468425e+07	2.614757876274287796e+00	2.670323329437475079e-01
4.534018749996437877e+07	2.217664989512164730e+00	-1.843830206571662744e+00
4.572762499996408075e+07	1.799234286457380427e-01	-3.153148208027678479e+00
4.611506249996377528e+07	-2.433725873300286224e+00	-2.398892709019930791e+00
4.650249999996347725e+07	-3.592297377936971348e+00	3.591191055231081064e-01
4.688993749996317178e+07	-1.997263202408189997e+00	3.087280088509208653e+00
4.727737499996287376e+07	1.153890272879427137e+00	3.398090850499307702e+00
4.766481249996257573e+07	3.156031461092304369e+00	1.173976234513986361e+00
4.805224999996227026e+07	2.682778741152979762e+00	-1.492553194450193743e+00
4.843968749996197224e+07	6.188127746682686725e-01	-2.683321950346642115e+00
4.882712499996166676e+07	-1.354859029078844701e+00	-2.048201587834850290e+00
4.921456249996136874e+07	-2.147974379561278457e+00	-4.221219075032375811e-01
4.960199999996106327e+07	-1.635682066677709212e+00	1.074372586739020585e+00
4.998943749996076524e+07	-3.983718867846594569e-01	1.714266283671952218e+00
5.037687499996046722e+07	7.958463249033497222e-01	1.376937484479185292e+00
5.076431249996016175e+07	1.377741957540514983e+00	4.298373249805500507e-01
5.115174999995986372e+07	1.194029115119481732e+00	-5.569905620479321806e-01
5.153918749995955825e+07	4.703938809821599509e-01	-1.112365013203085340e+00
5.192662499995926023e+07	-3.615548476077408702e-01	-1.053397096239079511e+00
5.231406249995895475e+07	-9.008384792883804559e-01	-5.049334930716707914e-01
5.270149999995865673e+07	-9.371480797276205976e-01	2.048389431847044972e-01
5.308893749995835871e+07	-5.276519475326525432e-01	7.232696984211101077e-01
5.347637499995805323e+07	7.735965109286455088e-02	8.341795496605768356e-01
5.386381249995775521e+07	5.717404452169295714e-01	5.402202074174717872e-01
5.425124999995744973e+07	7.403321513866640835e-01	2.631459016767340175e-02
5.463868749995715171e+07	5.416115930475312590e-01	-4.418263123554921901e-01
5.502612499995684624e+07	1.108307349906632044e-01	-6.524509623596025376e-01
5.541356249995654821e+07	-3.274586433475174529e-01	-5.356666293947641710e-01
5.580099999995625019e+07	-5.698021662612605676e-01	-1.791836463161800286e-01
5.618843749995594472e+07	-5.228253335242619704e-01	2.272783917055550829e-01
5.657587499995564669e+07	-2.352991295997435284e-01	4.915926819656949998e-01
5.696331249995534122e+07	1.366870887732880846e-01	5.053558928102012127e-01
5.735074999995504320e+07	4.185150634463071229e-01	2.835916700260084911e-01
5.773818749995473772e+07	4.870559519945593663e-01	-5.418222872932264289e-02
5.812562499995443970e+07	3.275322290449196871e-01	-3.465654127097790305e-01
5.851306249995414168e+07	2.637858084891420499e-02	-4.673279731165382866e-01
5.890049999995383620e+07	-2.770164578187762627e-01	-3.736544119808835052e-01
5.928793749995353818e+07	-4.558913155844889209e-01	-1.123749077208712477e-01
5.967537499995323271e+07	-4.355370600426389793e-01	2.078965036604838168e-01
6.006281249995293468e+07	-2.141453865254696054e-01	4.630962558555798414e-01
6.045024999995262921e+07	1.479959724666863874e-01	5.366226231792176060e-01
6.083768749995233119e+07	5.301339530478497153e-01	3.365415049732680686e-01
6.122512499995203316e+07	7.034973579776356845e-01	-1.608836226512154743e-01
6.161256249995172769e+07	3.909811902346032597e-01	-7.187112845776087999e-01
